course_title,skills,rating,review_count,level,duration,skills_list,filtered_representative_skills,skill__Transform,skill__Big Data,skill__Strategy,skill__Customer Analysis,skill__Business Analysis,skill__Finance,skill__User Experience,skill__Network Architecture,skill__Reinforcement Learning,skill__DevOps,skill__Network Security,skill__Cloud Computing,skill__Computer Programming,skill__Leadership and Management,skill__Computer Programming Tools,skill__Sales,skill__Communication,skill__Marketing,skill__Critical Thinking,skill__Human Resources,skill__Data Management,skill__Organizational Development,skill__Data Visualization,skill__Human Learning,skill__Data Analysis,has_rep
Economics of Money and Banking,"{"" Banking"","" Finance""}",4.9,1500.0,Mixed , 3 - 6 Months,"['Banking', 'Finance']",['Finance'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Design a User Experience for Social Good & Prepare for Jobs,"{"" User Experience"","" Social Media"","" User Research"","" Web Design""}",4.8,2900.0,Beginner , 1 - 3 Months,"['User Experience', 'Social Media', 'User Research', 'Web Design']",['User Experience'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Fundamentos de la gestión de proyectos,"{"" Leadership and Management"","" Organizational Development"","" Planning"","" Project Management"","" Strategy"","" Strategy and Operations"","" Change Management"","" Communication"","" Adaptability"","" Business Communication""}",4.9,4800.0,Beginner , 1 - 4 Weeks,"['Leadership and Management', 'Organizational Development', 'Planning', 'Project Management', 'Strategy', 'Strategy and Operations', 'Change Management', 'Communication', 'Adaptability', 'Business Communication']","['Leadership and Management', 'Organizational Development', 'Strategy', 'Communication']",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,True
"Sequences, Time Series and Prediction","{"" Machine Learning"","" Forecasting"","" Tensorflow"","" Applied Machine Learning"","" Deep Learning"","" Artificial Neural Networks"","" Human Learning"","" Data Visualization"","" Statistical Analysis"","" Statistical Machine Learning""}",4.7,4900.0,Intermediate , 1 - 4 Weeks,"['Machine Learning', 'Forecasting', 'Tensorflow', 'Applied Machine Learning', 'Deep Learning', 'Artificial Neural Networks', 'Human Learning', 'Data Visualization', 'Statistical Analysis', 'Statistical Machine Learning']","['Human Learning', 'Data Visualization']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,True
The Manager's Toolkit: A Practical Guide to Managing People at Work,"{"" Human Resources"","" Leadership and Management"","" People Management"","" Conflict Management"","" Decision Making"","" Human Resources Operations"","" People Analysis"","" Performance Management"","" Recruitment"","" Business Analysis"","" Employee Relations"","" Leadership Development"","" Organizational Development"","" People Development""}",4.7,3600.0,Mixed , 1 - 3 Months,"['Human Resources', 'Leadership and Management', 'People Management', 'Conflict Management', 'Decision Making', 'Human Resources Operations', 'People Analysis', 'Performance Management', 'Recruitment', 'Business Analysis', 'Employee Relations', 'Leadership Development', 'Organizational Development', 'People Development']","['Human Resources', 'Leadership and Management', 'Business Analysis', 'Organizational Development']",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,True
Managing Cybersecurity,"{"" Security Engineering"","" System Security"","" Risk Management"","" Computer Security Incident Management"","" Leadership and Management"","" Security Strategy"","" Network Security"","" Strategy"","" Cyberattacks"","" Strategy and Operations"","" Computer Security Models"","" Software Security"","" Security Software"","" Computer Networking"","" Planning"","" Regulations and Compliance"","" Business Analysis"","" Network Architecture"","" Networking Hardware"","" Operations Management"","" Cryptography"","" Network Model"","" Systems Design""}",4.8,1000.0,Beginner , 3 - 6 Months,"['Security Engineering', 'System Security', 'Risk Management', 'Computer Security Incident Management', 'Leadership and Management', 'Security Strategy', 'Network Security', 'Strategy', 'Cyberattacks', 'Strategy and Operations', 'Computer Security Models', 'Software Security', 'Security Software', 'Computer Networking', 'Planning', 'Regulations and Compliance', 'Business Analysis', 'Network Architecture', 'Networking Hardware', 'Operations Management', 'Cryptography', 'Network Model', 'Systems Design']","['Leadership and Management', 'Network Security', 'Strategy', 'Business Analysis', 'Network Architecture']",0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,True
Python Data Structures,"{"" Algorithms"","" Computational Logic"","" Computer Programming"","" Computer Programming Tools"","" Critical Thinking"","" Data Management"","" Data Structures"","" Problem Solving"","" Python Programming"","" Software Engineering""}",4.9,94000.0,Beginner , 1 - 3 Months,"['Algorithms', 'Computational Logic', 'Computer Programming', 'Computer Programming Tools', 'Critical Thinking', 'Data Management', 'Data Structures', 'Problem Solving', 'Python Programming', 'Software Engineering']","['Computer Programming', 'Computer Programming Tools', 'Critical Thinking', 'Data Management']",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,True
Cybersecurity Operations Fundamentals,"{"" Operations Management""}",4.8,123.0,Beginner , 3 - 6 Months,['Operations Management'],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
Build Basic Generative Adversarial Networks (GANs),"{"" Artificial Neural Networks"","" Machine Learning"","" Machine Learning Algorithms"","" Machine Learning Software"","" Python Programming"","" Statistical Programming"","" Deep Learning""}",4.7,1800.0,Intermediate , 1 - 4 Weeks,"['Artificial Neural Networks', 'Machine Learning', 'Machine Learning Algorithms', 'Machine Learning Software', 'Python Programming', 'Statistical Programming', 'Deep Learning']",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
Microsoft Azure Data Fundamentals DP-900 Exam Prep,"{"" Data Management"","" Databases"","" Microsoft Azure"","" Cloud Computing"","" SQL"","" Big Data"","" Data Analysis"","" Database Application"","" Data Architecture"","" Data Warehousing"","" Cloud Storage"","" Data Structures"","" Data Visualization"","" Extract"","" Transform"","" Load"","" Leadership and Management"","" NoSQL"","" Data Analysis Software"","" Data Visualization Software"","" Database Administration"","" Cloud Infrastructure"","" Cloud Management"","" Database Theory"","" PostgreSQL""}",4.7,549.0,Beginner , 3 - 6 Months,"['Data Management', 'Databases', 'Microsoft Azure', 'Cloud Computing', 'SQL', 'Big Data', 'Data Analysis', 'Database Application', 'Data Architecture', 'Data Warehousing', 'Cloud Storage', 'Data Structures', 'Data Visualization', 'Extract', 'Transform', 'Load', 'Leadership and Management', 'NoSQL', 'Data Analysis Software', 'Data Visualization Software', 'Database Administration', 'Cloud Infrastructure', 'Cloud Management', 'Database Theory', 'PostgreSQL']","['Data Management', 'Cloud Computing', 'Big Data', 'Data Analysis', 'Data Visualization', 'Transform', 'Leadership and Management']",1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,True
Reporting extra-financier et stratégie RSE,"{"" Strategy"","" Audit"","" Strategy and Operations"","" Change Management"","" Communication"","" Finance"","" Leadership and Management"","" Regulations and Compliance""}",4.7,370.0,Beginner , 1 - 4 Weeks,"['Strategy', 'Audit', 'Strategy and Operations', 'Change Management', 'Communication', 'Finance', 'Leadership and Management', 'Regulations and Compliance']","['Strategy', 'Communication', 'Finance', 'Leadership and Management']",0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,True
Introduction to DevOps,"{"" DevOps"","" Continuous Delivery"","" Continuous Integration"","" Software Engineering""}",4.8,2100.0,Beginner , 1 - 3 Months,"['DevOps', 'Continuous Delivery', 'Continuous Integration', 'Software Engineering']",['DevOps'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
International Marketing & Cross Industry Growth,"{"" Marketing"","" Strategy"","" Leadership and Management"","" Customer Analysis"","" Market Analysis"","" Marketing Management"","" Product Marketing"","" Brand Management"","" Customer Relationship Management"","" Marketing Design"","" Media Strategy & Planning"","" Product Strategy"","" Product Management"","" Decision Making"","" Strategy and Operations"","" B2B Sales"","" Business Development"","" Social Media"","" Communication"","" Creativity"","" Operations Management"","" Sales"","" Performance Management"","" Reinforcement Learning""}",4.7,2200.0,Beginner , 3 - 6 Months,"['Marketing', 'Strategy', 'Leadership and Management', 'Customer Analysis', 'Market Analysis', 'Marketing Management', 'Product Marketing', 'Brand Management', 'Customer Relationship Management', 'Marketing Design', 'Media Strategy & Planning', 'Product Strategy', 'Product Management', 'Decision Making', 'Strategy and Operations', 'B2B Sales', 'Business Development', 'Social Media', 'Communication', 'Creativity', 'Operations Management', 'Sales', 'Performance Management', 'Reinforcement Learning']","['Marketing', 'Strategy', 'Leadership and Management', 'Customer Analysis', 'Communication', 'Sales', 'Reinforcement Learning']",0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,True
Computational Thinking for Problem Solving,"{"" Computational Thinking"","" Computer Programming"","" Problem Solving"","" Algorithms"","" Computational Logic"","" Critical Thinking"","" Programming Principles"","" Python Programming"","" Theoretical Computer Science"","" Computer Programming Tools""}",4.7,1300.0,Beginner , 1 - 4 Weeks,"['Computational Thinking', 'Computer Programming', 'Problem Solving', 'Algorithms', 'Computational Logic', 'Critical Thinking', 'Programming Principles', 'Python Programming', 'Theoretical Computer Science', 'Computer Programming Tools']","['Computer Programming', 'Critical Thinking', 'Computer Programming Tools']",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,True
Algebra: Elementary to Advanced,"{"" Algebra"","" Mathematics"","" Problem Solving"","" Linear Algebra"","" Applied Mathematics"","" Critical Thinking"","" Plot (Graphics)"","" Mathematical Theory & Analysis"","" Computational Thinking"","" Decision Making""}",4.8,500.0,Beginner , 3 - 6 Months,"['Algebra', 'Mathematics', 'Problem Solving', 'Linear Algebra', 'Applied Mathematics', 'Critical Thinking', 'Plot (Graphics)', 'Mathematical Theory & Analysis', 'Computational Thinking', 'Decision Making']",['Critical Thinking'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,True
